created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2020-04-24 00:00:00 UTC,1.52,2.57,3.24,8030.00,-68.30,58.86,59.44,2.57
2020-04-25 00:00:00 UTC,2.07,3.44,4.17,9470.00,-69.94,59.86,59.84,3.44,
2020-04-25 00:00:00 UTC,2.07,3.44,4.17,9470.00,-69.94,59.86,59.84,3.44
2020-04-26 00:00:00 UTC,1.21,3.07,5.87,10910.00,-70.58,58.89,47.91,3.07,
2020-04-26 00:00:00 UTC,1.21,3.07,5.87,10910.00,-70.58,58.89,47.91,3.07
2020-04-27 00:00:00 UTC,0.72,1.66,2.58,12350.00,-71.06,61.49,52.21,1.66,
2020-04-27 00:00:00 UTC,0.72,1.66,2.58,12350.00,-71.06,61.49,52.21,1.66
2020-04-28 00:00:00 UTC,1.15,2.49,4.21,13790.59,-67.02,59.22,50.79,2.49,
2020-04-28 00:00:00 UTC,1.15,2.49,4.21,13790.59,-67.02,59.22,50.79,2.49
2020-04-29 00:00:00 UTC,4.27,7.00,8.91,15043.45,-64.47,62.15,53.77,7.00,
2020-04-29 00:00:00 UTC,4.27,7.00,8.91,15043.45,-64.47,62.15,53.77,7.00
2020-04-30 00:00:00 UTC,0.36,1.13,2.16,742.00,-64.70,61.05,55.19,1.13,
2020-04-30 00:00:00 UTC,0.36,1.13,2.16,742.00,-64.70,61.05,55.19,1.13
2020-05-01 00:00:00 UTC,0.37,1.13,2.05,2182.00,-64.28,58.83,46.55,1.13,
2020-05-01 00:00:00 UTC,0.37,1.13,2.05,2182.00,-64.28,58.83,46.55,1.13
2020-05-02 00:00:00 UTC,1.92,3.51,4.33,3622.00,-64.25,60.44,56.25,3.51,
2020-05-02 00:00:00 UTC,1.92,3.51,4.33,3622.00,-64.25,60.44,56.25,3.51
2020-05-03 00:00:00 UTC,0.68,1.63,2.40,5062.00,-63.10,53.86,61.71,1.63,
2020-05-03 00:00:00 UTC,0.68,1.63,2.40,5062.00,-63.10,53.86,61.71,1.63
2020-05-04 00:00:00 UTC,0.63,1.46,2.08,6502.00,-63.78,56.54,48.53,1.46,
2020-05-04 00:00:00 UTC,0.63,1.46,2.08,6502.00,-63.78,56.54,48.53,1.46
2020-05-05 00:00:00 UTC,2.68,4.39,5.16,7942.00,-64.08,64.58,43.72,4.39,
2020-05-05 00:00:00 UTC,2.68,4.39,5.16,7942.00,-64.08,64.58,43.72,4.39
2020-05-06 00:00:00 UTC,0.87,1.73,2.39,9382.00,-63.90,58.81,61.53,1.73,
2020-05-06 00:00:00 UTC,0.87,1.73,2.39,9382.00,-63.90,58.81,61.53,1.73
2020-05-07 00:00:00 UTC,0.98,2.07,3.03,10822.00,-63.67,56.31,56.22,2.07,
2020-05-07 00:00:00 UTC,0.98,2.07,3.03,10822.00,-63.67,56.31,56.22,2.07
2020-05-08 00:00:00 UTC,1.02,1.89,2.38,12261.38,-63.82,66.57,39.13,1.89,
2020-05-08 00:00:00 UTC,1.02,1.89,2.38,12261.38,-63.82,66.57,39.13,1.89
2020-05-09 00:00:00 UTC,0.27,0.67,0.90,13702.00,-65.05,76.09,24.72,0.67,
2020-05-09 00:00:00 UTC,0.27,0.67,0.90,13702.00,-65.05,76.09,24.72,0.67
2020-05-10 00:00:00 UTC,1.22,1.95,2.37,15142.00,-64.89,78.71,24.50,1.88,
2020-05-10 00:00:00 UTC,1.22,1.95,2.37,15142.00,-64.89,78.71,24.50,1.88
2020-05-11 00:00:00 UTC,2.77,4.03,4.68,16582.00,-65.53,77.24,28.34,4.03,
2020-05-11 00:00:00 UTC,2.77,4.03,4.68,16582.00,-65.53,77.24,28.34,4.03
2020-05-12 00:00:00 UTC,2.59,4.10,4.75,18022.00,-62.79,64.08,48.76,4.10,
2020-05-12 00:00:00 UTC,2.59,4.10,4.75,18022.00,-62.79,64.08,48.76,4.10
2020-05-13 00:00:00 UTC,0.41,1.02,1.56,19462.00,-61.99,61.57,57.04,1.02,
2020-05-13 00:00:00 UTC,0.41,1.02,1.56,19462.00,-61.99,61.57,57.04,1.02
2020-05-14 00:00:00 UTC,0.46,0.97,1.30,20900.38,-62.20,61.41,53.50,0.97,
2020-05-14 00:00:00 UTC,0.46,0.97,1.30,20900.38,-62.20,61.41,53.50,0.97
2020-05-15 00:00:00 UTC,0.69,1.35,1.77,22339.93,-62.14,63.67,50.03,1.35,
