,code,value_represented
341,17032,Mixture PCB 171/202 (TSP) STP
342,17033,Mixture PCB 203/196 (TSP) STP
343,17034,Mixture PCB 208/195 (TSP) STP
344,17038,"2,3',4-Trichlorobiphenyl (TSP) STP"
345,17043,"2,3',4,4'-Tetrachlorobiphenyl (TSP) STP"
346,17044,"2,2',3,3',4-Pentachlorobiphenyl (TSP) STP"
347,17131,C2 Alkylbenzenes
348,17140,"2,7-dimethylnaphthalene (TSP) STP"
349,17141,Naphthalene (TSP) STP
350,17142,"2,6-dimethylnaphthalene (TSP) STP"
351,17143,"1,7-dimethylnaphthalene (TSP) STP"
352,17144,"1,2-Dimethylnaphthalene (TSP) STP"
353,17145,"2,3-dimethylnaphthalene (TSP) STP"
354,17146,"1,2-dimethylnaphthalene (TSP) STP"
355,17147,Acenaphthene (TSP) STP
356,17148,Acenaphthylene (TSP) STP
357,17149,Fluorene (TSP) STP
358,17150,Phenanthrene (TSP) STP
359,17151,Anthracene (TSP) STP
360,17152,"1,3-dinitropyrene (TSP) STP"
361,17153,1-nitropyrene (TSP) STP
362,17155,3-nitrofluoranthene (TSP) STP
363,17156,2-methylphenanthrene (TSP) STP
364,17157,1-methylphenanthrene (TSP) STP
365,17158,Retene (TSP) STP
366,17159,9-fluorenone (TSP) STP
367,17160,Cyclopenta[cd]pyrene (TSP) STP
368,17161,Fluorene-D10 (TSP) STP
369,17162,Fluoranthene-D10 (TSP) STP
370,17199,Polycyclic organic matter (TSP) STP
371,17201,Fluoranthene (TSP) STP
372,17202,Polynuclear aromatic hydrocarbons (TSP) STP
373,17204,Pyrene (TSP) STP
374,17205,Pyrene-D10 (TSP) STP
375,17208,Chrysene (TSP) STP
376,17210,Anthanthrene (TSP) STP
377,17211,Coronene (TSP) STP
378,17212,Perylene (TSP) STP
379,17215,Benzo[a]anthracene (TSP) STP
380,17220,Benzo[b]fluoranthene (TSP) STP
381,17223,Benzo[k]fluoranthene (TSP) STP
382,17224,Benzo[e]pyrene (TSP) STP
383,17225,"Benzo[b,k]fluoranthene (TSP) STP"
384,17231,"Dibenzo[a,h]anthracene (TSP) STP"
385,17237,"Benzo[g,h,i]perylene (TSP) STP"
386,17241,Benzo[a]pyrene-D12 (TSP) STP
387,17242,Benzo[a]pyrene (TSP) STP
