,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,sample_duration,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method_code,method,state,county,date_of_last_change,cbsa_code
45,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,21:00,2020-01-03,05:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
46,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,22:00,2020-01-03,06:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
47,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-02,23:00,2020-01-03,07:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
48,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,00:00,2020-01-03,08:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
49,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,01:00,2020-01-03,09:00,10.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
50,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,02:00,2020-01-03,10:00,7.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
51,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,03:00,2020-01-03,11:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
52,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,04:00,2020-01-03,12:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
53,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,05:00,2020-01-03,13:00,2.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
54,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,06:00,2020-01-03,14:00,1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
55,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,07:00,2020-01-03,15:00,4.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
56,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,08:00,2020-01-03,16:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
57,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,09:00,2020-01-03,17:00,8.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
58,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,10:00,2020-01-03,18:00,10.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
59,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,11:00,2020-01-03,19:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
60,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,12:00,2020-01-03,20:00,6.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
61,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,13:00,2020-01-03,21:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
62,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,14:00,2020-01-03,22:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
63,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,15:00,2020-01-03,23:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
64,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,16:00,2020-01-04,00:00,5.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
65,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,17:00,2020-01-04,01:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
66,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,18:00,2020-01-04,02:00,0.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
67,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,19:00,2020-01-04,03:00,-1.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
68,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,20:00,2020-01-04,04:00,0.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
69,53,061,0020,88101,5,48.2469,-121.6031,WGS84,PM2.5 - Local Conditions,2020-01-03,21:00,2020-01-04,05:00,3.0,Micrograms/cubic meter (LC),1 HOUR,HOURLY,5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,Washington,Snohomish,2020-04-30,42660
