,code,value_represented
549,31620,"Magnolia, AR"
550,31660,"Malone, NY"
551,31680,"Malvern, AR"
552,31700,"Manchester-Nashua, NH"
553,31740,"Manhattan, KS"
554,31820,"Manitowoc, WI"
555,31860,"Mankato-North Mankato, MN"
556,31900,"Mansfield, OH"
557,31930,"Marietta, OH"
558,31940,"Marinette, WI-MI"
559,31980,"Marion, IN"
560,32000,"Marion, NC"
561,32020,"Marion, OH"
562,32060,"Marion-Herrin, IL"
563,32100,"Marquette, MI"
564,32140,"Marshall, MN"
565,32180,"Marshall, MO"
566,32220,"Marshall, TX"
567,32260,"Marshalltown, IA"
568,32270,"Marshfield-Wisconsin Rapids, WI"
569,32280,"Martin, TN"
570,32300,"Martinsville, VA"
571,32340,"Maryville, MO"
572,32380,"Mason City, IA"
573,32420,"Mayaguez, PR"
574,32460,"Mayfield, KY"
575,32500,"Maysville, KY"
576,32540,"McAlester, OK"
577,32580,"McAllen-Edinburg-Mission, TX"
578,32620,"McComb, MS"
579,32660,"McMinnville, TN"
580,32700,"McPherson, KS"
581,32740,"Meadville, PA"
582,32780,"Medford, OR"
583,32820,"Memphis, TN-MS-AR"
584,32860,"Menomonie, WI"
585,32900,"Merced, CA"
586,32940,"Meridian, MS"
587,32980,"Merrill, WI"
588,33020,"Mexico, MO"
589,33060,"Miami, OK"
590,33100,"Miami-Fort Lauderdale-West Palm Beach, FL"
591,33140,"Michigan City-La Porte, IN"
592,33180,"Middlesborough, KY"
593,33220,"Midland, MI"
594,33260,"Midland, TX"
595,33300,"Milledgeville, GA"
596,33340,"Milwaukee-Waukesha-West Allis, WI"
597,33380,"Minden, LA"
598,33420,"Mineral Wells, TX"
599,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
600,33500,"Minot, ND"
601,33540,"Missoula, MT"
602,33580,"Mitchell, SD"
603,33620,"Moberly, MO"
604,33660,"Mobile, AL"
605,33700,"Modesto, CA"
606,33740,"Monroe, LA"
607,33780,"Monroe, MI"
608,33820,"Monroe, WI"
609,33860,"Montgomery, AL"
610,33940,"Montrose, CO"
611,33980,"Morehead City, NC"
612,34020,"Morgan City, LA"
613,34060,"Morgantown, WV"
614,34100,"Morristown, TN"
615,34140,"Moscow, ID"
616,34180,"Moses Lake, WA"
617,34220,"Moultrie, GA"
618,34260,"Mountain Home, AR"
619,34300,"Mountain Home, ID"
620,34340,"Mount Airy, NC"
621,34380,"Mount Pleasant, MI"
622,34420,"Mount Pleasant, TX"
623,34460,"Mount Sterling, KY"
624,34500,"Mount Vernon, IL"
625,34540,"Mount Vernon, OH"
626,34580,"Mount Vernon-Anacortes, WA"
627,34620,"Muncie, IN"
628,34660,"Murray, KY"
629,34700,"Muscatine, IA"
630,34740,"Muskegon, MI"
631,34780,"Muskogee, OK"
632,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
633,34860,"Nacogdoches, TX"
634,34900,"Napa, CA"
635,34940,"Naples-Immokalee-Marco Island, FL"
636,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN"
637,35020,"Natchez, MS-LA"
638,35060,"Natchitoches, LA"
639,35100,"New Bern, NC"
640,35140,"Newberry, SC"
641,35220,"New Castle, IN"
642,35260,"New Castle, PA"
643,35300,"New Haven-Milford, CT"
644,35340,"New Iberia, LA"
645,35380,"New Orleans-Metairie, LA"
